city,lng,lat,adminName1
MATA DA PRAIA,-48.59389,-27.06417,Santa Catarina
REPÚBLICA,-55,-10,
GOIABEIRAS,-40.28639,-20.25806,Espírito Santo
ANDORINHAS,-48.56164,-24.65788,São Paulo
CONQUISTA,-40.83944,-14.86611,Bahia
NOVA PALESTINA,-38.41834,-12.86625,Bahia
DA PENHA,-38.3203,-6.32865,Rio Grande do Norte
BENTO FERREIRA,-40.30222,-20.31729,Espírito Santo
SÃO PEDRO,-52.09861,-32.035,Rio Grande do Sul
SANTA MARTHA,-48.81159,-28.60385,Santa Catarina
SÃO CRISTÓVÃO,-37.24115,-10.94452,Sergipe
MARUÍPE,-40.30595,-20.30326,Espírito Santo
GRANDE VITÓRIA,-62.06612,-3.83507,Amazonas
SÃO BENEDITO,-43.52833,-3.33361,Maranhão
SANTO ANDRÉ,-46.53833,-23.66389,São Paulo
BONFIM,-60.07479,2.69748,Roraima
MARIA ORTIZ,-40.46667,-19.55,Espírito Santo
JABOUR,-43.49417,-22.87905,Rio de Janeiro
RESISTÊNCIA,-49.33361,-25.51557,Paraná
ILHA DE SANTA MARIA,-39.6,-8.65,Bahia
JUCUTUQUARA,-40.30222,-20.31729,Espírito Santo
MONTE BELO,-51.64287,-29.1318,Rio Grande do Sul
SANTO ANTÔNIO,-50.6194,-23.56361,Paraná
BELA VISTA,-56.52111,-22.10889,Mato Grosso do Sul
SANTA HELENA,-54.28722,-24.90689,Paraná
ITARARÉ,-49.33167,-24.1125,São Paulo
UNIVERSITÁRIO,-37.10123,-10.93327,Sergipe
SÃO JOSÉ,-49.1632,-28.21171,Santa Catarina
REDENÇÃO,-49.9799,-8.03329,Pará
SANTA CLARA,-50.8987,-20.07534,São Paulo
CENTRO,-46.79364,-3.31669,Maranhão
SANTOS DUMONT,-43.16313,-22.91046,Rio de Janeiro
ILHA DO FRADE,-32.40116,-3.86029,Pernambuco
JOANA D´ARC,-51.13677,-30.05447,Rio Grande do Sul
CONSOLAÇÃO,-45.90414,-22.54002,Minas Gerais
PRAIA DO CANTO,-48.63222,-27.79472,Santa Catarina
BOA VISTA,-60.67333,2.81972,Roraima
SANTA LUÍZA,-39.37472,-11.25583,Bahia
SANTA LÚCIA,-43.85139,-19.76972,Minas Gerais
BARRO VERMELHO,-41.03333,-7.98333,Piauí
ESTRELINHA,-56.41667,-22.06667,Mato Grosso do Sul
SANTOS REIS,-41.25,-5.58333,Piauí
PIEDADE,-47.43506,-23.80789,São Paulo
SANTA TEREZA,-53.61939,-25.04438,Paraná
CRUZAMENTO,-35.75,-5.28333,Rio Grande do Norte
ROMÃO,-45.46775,-16.35912,Minas Gerais
SANTA CECÍLIA,-35.93681,-7.72027,Paraíba
DE LOURDES,-42.98275,-9.50097,Bahia
DO CABRAL,-57.34222,-2.73389,Amazonas
HORTO,-47.83813,-22.84369,São Paulo
ILHA DO BOI,-48.43333,-10.71667,Tocantins
FRADINHOS,-47.40056,-21.12722,São Paulo
NAZARETH,-39.01444,-13.035,Bahia
AEROPORTO,-37.07033,-10.984,Sergipe
PARQUE INDUSTRIAL,-49.29723,-26.20686,Santa Catarina
